Id	PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA	diff	diffCont	order	class
8102	PRD000019	1768	827	823	4	230	0	0.995163240628779	1	8004	1
12608	PXD000247	29531	1240	1234	6	2	1	0.995161290322581	0.999193548387097	8005	1
4141	PRD000057	3603	27270	27138	132	0	0	0.995159515951595	1	8006	1
13914	PRD000517	18350	413	411	2	6	0	0.995157384987893	1	8007	1
14354	PRD000087	8796	825	821	4	8	2	0.995151515151515	0.997575757575758	8008	1
1768	PRD000073	8357	618	615	3	7	0	0.995145631067961	1	8009	1
4972	PXD000948	36571	824	820	4	13	0	0.995145631067961	1	8010	1
4982	PXD000948	36579	824	820	4	13	0	0.995145631067961	1	8011	1
7636	PXD000264	29555	16253	16174	79	10	0	0.99513935888759	1	8012	1
13756	PXD001386	41317	189319	188398	921	254	2	0.995135195093995	0.999989435819965	8013	1
7955	PRD000499	18199	3494	3477	17	0	2	0.995134516313681	0.999427590154551	8014	1
13640	PXD000449	31113	17674	17588	86	1885	7	0.995134095281204	0.999603937988005	8015	1
474	PXD001091	37883	5343	5317	26	0	2	0.995133819951338	0.999625678457795	8016	1
1663	PRD000073	8252	411	409	2	31	0	0.995133819951338	1	8017	1
2254	PXD000780	35095	1232	1226	6	0	0	0.99512987012987	1	8018	1
12110	PRD000327	15132	1232	1226	6	0	0	0.99512987012987	1	8019	1
1218	PXD000426	30705	410	408	2	13	0	0.995121951219512	1	8020	1
8895	PRD000721	25047	205	204	1	0	0	0.995121951219512	1	8021	1
7492	PRD000053	3721	1637	1629	8	63	2	0.995113011606597	0.998778252901649	8022	1
12140	PRD000327	15162	409	407	2	0	0	0.995110024449878	1	8023	1
4019	PRD000044	3339	7356	7320	36	0	5	0.99510603588907	0.999320282762371	8024	1
7742	PRD000118	9759	12244	12184	60	2845	7	0.995099640640314	0.999428291408037	8025	1
8296	PRD000518	19306	44883	44663	220	743	13	0.99509836686496	0.99971035804202	8026	1
8884	PRD000721	25036	204	203	1	0	0	0.995098039215686	1	8027	1
10942	PRD000349	15510	11832	11774	58	0	10	0.995098039215686	0.999154834347532	8028	1
13421	PRD000032	2961	408	406	2	1	2	0.995098039215686	0.995098039215686	8029	1
7496	PRD000053	3847	1018	1013	5	48	0	0.995088408644401	1	8030	1
466	PXD001091	37875	5089	5064	25	0	1	0.9950874435056	0.999803497740224	8031	1
175	PRD000141	9888	2642	2629	13	26	0	0.995079485238456	1	8032	1
19599	PXD000314	29923	1016	1011	5	0	0	0.99507874015748	1	8033	1
19604	PXD000314	29928	1016	1011	5	0	0	0.99507874015748	1	8034	1
10887	PRD000731	26903	1219	1213	6	20	3	0.995077932731747	0.997538966365874	8035	1
15554	PXD001072	37779	1625	1617	8	0	2	0.995076923076923	0.998769230769231	8036	1
8865	PRD000721	25017	203	202	1	0	0	0.995073891625616	1	8037	1
2259	PXD000780	35100	608	605	3	0	0	0.995065789473684	1	8038	1
2355	PXD000780	35189	608	605	3	0	0	0.995065789473684	1	8039	1
19375	PRD000476	18032	5468	5441	27	0	0	0.995062179956108	1	8040	1
1740	PRD000073	8329	810	806	4	61	0	0.995061728395062	1	8041	1
481	PXD001091	37890	4449	4427	22	20	1	0.995055068554731	0.999775230388851	8042	1
478	PXD001091	37887	4851	4827	24	0	1	0.995052566481138	0.999793856936714	8043	1
4164	PRD000092	8989	202	201	1	20	0	0.995049504950495	1	8044	1
13757	PXD001386	41318	1008	1003	5	0	1	0.995039682539683	0.999007936507937	8045	1
4284	PRD000092	9110	403	401	2	44	0	0.995037220843672	1	8046	1
5455	PXD001006	37039	1407	1400	7	38	0	0.995024875621891	1	8047	1
7517	PRD000053	7958	1204	1198	6	46	1	0.995016611295681	0.999169435215947	8048	1
5464	PXD001006	37048	1805	1796	9	45	1	0.995013850415512	0.999445983379501	8049	1
7509	PRD000053	3860	2605	2592	13	111	1	0.995009596928983	0.999616122840691	8050	1
6603	PRD000668	22176	2604	2591	13	229	1	0.995007680491551	0.999615975422427	8051	1
